_runtime,Sample Generation,_timestamp,train/step_loss,_step,val/loss,lr,iter,train/loss,seed
527.2752905,,1779640546.9542804,1.007354497909546,360,,,3460.0,,3740
528.3043389,,1779640547.983354,0.988278329372406,361,,,3470.0,,3740
529.3638147,,1779640549.0422769,0.9878991842269897,362,,,3480.0,,3740
530.4120184,,1779640550.0900137,0.9960223436355591,363,,,3490.0,,3740
544.213068,,1779640563.891835,,364,1.5333054065704346,0.0002925475029450237,3500.0,0.8630523085594177,3740
544.3167293,,1779640563.9957404,0.987798273563385,365,,,3500.0,,3740
545.3228641,,1779640565.0016787,1.0131793022155762,366,,,3510.0,,3740
546.3148846,,1779640565.9936264,1.0005390644073486,367,,,3520.0,,3740
547.3118821,,1779640566.9908874,0.991858720779419,368,,,3530.0,,3740
548.308275,,1779640567.9871006,0.963771641254425,369,,,3540.0,,3740
549.304204,,1779640568.9831917,1.005370020866394,370,,,3550.0,,3740
550.3210071,,1779640570.0000243,0.9877326488494873,371,,,3560.0,,3740
551.3641596,,1779640571.0431726,0.9646274447441101,372,,,3570.0,,3740
552.4127292,,1779640572.0917442,0.9747068285942078,373,,,3580.0,,3740
553.4429005,,1779640573.120917,1.005285382270813,374,,,3590.0,,3740
554.4426024,,1779640574.1213543,0.9655291438102722,375,,,3600.0,,3740
555.4381402,,1779640575.1168664,0.9767536520957947,376,,,3610.0,,3740
556.4277927,,1779640576.1065688,0.9808778762817383,377,,,3620.0,,3740
557.4309227,,1779640577.1096673,0.9743523001670837,378,,,3630.0,,3740
558.434178,,1779640578.1126766,0.9944796562194824,379,,,3640.0,,3740
559.4470348,,1779640579.1260502,0.9879789352416992,380,,,3650.0,,3740
560.4551753,,1779640580.1339753,0.9737090468406677,381,,,3660.0,,3740
561.4431674,,1779640581.121367,0.9811245203018188,382,,,3670.0,,3740
562.5024347,,1779640582.181168,0.9802471995353699,383,,,3680.0,,3740
563.596954,,1779640583.2759678,0.9674616456031799,384,,,3690.0,,3740
564.6657989,,1779640584.3448153,0.966389536857605,385,,,3700.0,,3740
